"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.164472980E-1,4.259999259E-4,2.445999999E-3,3.308000043E-3,4.136091901E-3
5.189839650E-1,-6.390000344E-4,3.510999959E-3,1.178000006E-3,3.758074742E-3
5.215202670E-1,-2.769000130E-3,3.160000779E-4,-2.016999992E-3,3.440277130E-3
5.240381840E-1,-1.703999937E-3,1.381000038E-3,-2.016999992E-3,2.979776142E-3
5.265883400E-1,-1.703999937E-3,2.445999999E-3,2.243000083E-3,3.730627447E-3
5.291222460E-1,-6.390000344E-4,1.381000038E-3,2.243000083E-3,2.710448583E-3
5.316743810E-1,2.555999905E-3,4.575999919E-3,4.373000003E-3,6.826129196E-3
5.341922980E-1,4.259999259E-4,2.445999999E-3,3.308000043E-3,4.136091901E-3
5.367466210E-1,-1.703999937E-3,4.575999919E-3,1.130000455E-4,4.884276820E-3
5.392769860E-1,-2.769000130E-3,3.510999959E-3,1.130000455E-4,4.472946617E-3
5.418157360E-1,-3.834000090E-3,1.381000038E-3,1.130000455E-4,4.076700480E-3
5.443625590E-1,2.555999905E-3,3.160000779E-4,1.178000006E-3,2.832079726E-3
5.468804750E-1,-6.390000344E-4,1.381000038E-3,2.243000083E-3,2.710448583E-3
5.494093290E-1,-2.769000130E-3,-7.490001153E-4,1.130000455E-4,2.870737170E-3
5.519594340E-1,-1.703999937E-3,4.575999919E-3,1.178000006E-3,5.023054356E-3
5.544979230E-1,-2.769000130E-3,2.445999999E-3,2.243000083E-3,4.322190079E-3
5.570665170E-1,-6.390000344E-4,3.160000779E-4,1.178000006E-3,1.376902722E-3
5.595844340E-1,-2.769000130E-3,3.510999959E-3,1.130000455E-4,4.472946617E-3
5.620916210E-1,-1.703999937E-3,2.445999999E-3,1.178000006E-3,3.205341759E-3
5.646475590E-1,-4.898999818E-3,3.160000779E-4,1.178000006E-3,5.048538331E-3
5.671912560E-1,-6.390000344E-4,5.641000345E-3,2.243000083E-3,6.104117898E-3
5.697091730E-1,-6.390000344E-4,3.510999959E-3,3.308000043E-3,4.866035968E-3
5.722358400E-1,-4.898999818E-3,4.575999919E-3,3.308000043E-3,7.475482510E-3
5.747909960E-1,-3.834000090E-3,3.510999959E-3,2.243000083E-3,5.661954325E-3
5.773297980E-1,1.490999945E-3,3.510999959E-3,1.130000455E-4,3.816146035E-3
5.798695380E-1,-1.703999937E-3,3.510999959E-3,2.243000083E-3,4.501309350E-3
5.823874540E-1,-2.769000130E-3,1.381000038E-3,3.308000043E-3,4.529612247E-3
5.849206310E-1,-1.703999937E-3,2.445999999E-3,1.178000006E-3,3.205341759E-3
5.874606310E-1,-6.390000344E-4,2.445999999E-3,1.130000455E-4,2.530613769E-3
5.900091730E-1,-6.390000344E-4,-1.814000076E-3,1.130000455E-4,1.926573728E-3
5.925746420E-1,-6.390000344E-4,-7.490001153E-4,-9.520000312E-4,1.369535058E-3
5.950925590E-1,-6.390000344E-4,1.381000038E-3,1.178000006E-3,1.924361235E-3
5.976054230E-1,-1.703999937E-3,2.445999999E-3,1.130000455E-4,2.983169587E-3
6.001531840E-1,1.490999945E-3,3.510999959E-3,1.130000455E-4,3.816146035E-3
6.027016210E-1,-6.390000344E-4,3.160000779E-4,1.178000006E-3,1.376902722E-3
6.052387560E-1,-1.703999937E-3,3.160000779E-4,3.308000043E-3,3.734479364E-3
6.077566730E-1,4.259999259E-4,2.445999999E-3,3.308000043E-3,4.136091901E-3
6.102991730E-1,-6.390000344E-4,4.575999919E-3,1.178000006E-3,4.768205147E-3
6.128145900E-1,-4.898999818E-3,2.445999999E-3,1.178000006E-3,5.600964133E-3
6.153594340E-1,-2.769000130E-3,3.510999959E-3,-9.520000312E-4,4.571737798E-3
6.179143810E-1,-2.769000130E-3,2.445999999E-3,1.178000006E-3,3.877881087E-3
6.204322980E-1,4.259999259E-4,2.445999999E-3,2.243000083E-3,3.345958951E-3
6.229781310E-1,4.259999259E-4,1.381000038E-3,1.178000006E-3,1.864489489E-3
6.255134960E-1,-6.390000344E-4,3.160000779E-4,1.178000006E-3,1.376902722E-3
6.280629230E-1,-3.834000090E-3,4.575999919E-3,1.178000006E-3,6.084982824E-3
6.306035480E-1,-2.769000130E-3,2.445999999E-3,1.130000455E-4,3.696355871E-3
6.331214650E-1,4.259999259E-4,3.160000779E-4,2.243000083E-3,2.304860377E-3
6.356683400E-1,2.555999905E-3,2.445999999E-3,1.178000006E-3,3.728771315E-3
6.381979750E-1,1.490999945E-3,2.445999999E-3,-9.520000312E-4,3.018658789E-3
6.407550060E-1,-3.834000090E-3,1.381000038E-3,-9.520000312E-4,4.184856253E-3
6.433218810E-1,-3.834000090E-3,1.381000038E-3,-9.520000312E-4,4.184856253E-3
6.458397980E-1,4.259999259E-4,1.381000038E-3,1.178000006E-3,1.864489489E-3
6.483437560E-1,-1.703999937E-3,3.160000779E-4,2.243000083E-3,2.834523100E-3
6.508737040E-1,-3.834000090E-3,2.445999999E-3,3.308000043E-3,5.623640900E-3
6.534226110E-1,-1.703999937E-3,6.706000306E-3,1.130000455E-4,6.920030700E-3
6.559638090E-1,-2.769000130E-3,3.510999959E-3,2.243000083E-3,5.002552529E-3
6.584817250E-1,-1.703999937E-3,2.445999999E-3,3.308000043E-3,4.453021004E-3
6.610404230E-1,4.259999259E-4,3.510999959E-3,3.308000043E-3,4.842670847E-3
6.635628190E-1,1.490999945E-3,1.381000038E-3,2.243000083E-3,3.026762513E-3
6.661161000E-1,4.259999259E-4,3.160000779E-4,1.178000006E-3,1.291904021E-3
6.686517250E-1,-6.390000344E-4,-1.814000076E-3,1.130000455E-4,1.926573728E-3
6.711696420E-1,4.259999259E-4,2.445999999E-3,1.178000006E-3,2.748104064E-3
6.737029230E-1,2.555999905E-3,3.510999959E-3,1.178000006E-3,4.499771132E-3
6.762457880E-1,-3.834000090E-3,4.575999919E-3,-9.520000312E-4,6.045298670E-3
6.787714650E-1,-3.834000090E-3,1.381000038E-3,2.243000083E-3,4.651641341E-3
6.813330790E-1,1.490999945E-3,-7.490001153E-4,1.178000006E-3,2.042490152E-3
6.838974540E-1,-6.390000344E-4,1.381000038E-3,1.178000006E-3,1.924361235E-3
6.864153710E-1,-2.769000130E-3,1.381000038E-3,1.178000006E-3,3.310922355E-3
6.889081310E-1,-3.834000090E-3,2.445999999E-3,1.178000006E-3,4.697888536E-3
6.914506310E-1,-2.769000130E-3,3.160000779E-4,2.243000083E-3,3.577466581E-3
6.940156840E-1,-3.834000090E-3,1.381000038E-3,2.243000083E-3,4.651641341E-3
6.965369340E-1,4.259999259E-4,1.381000038E-3,2.243000083E-3,2.668274051E-3
6.991222980E-1,-1.703999937E-3,2.445999999E-3,2.243000083E-3,3.730627447E-3
7.016402150E-1,-5.963999778E-3,2.445999999E-3,1.130000455E-4,6.447090689E-3
7.041393810E-1,-1.703999937E-3,3.160000779E-4,1.130000455E-4,1.736732807E-3
7.067086000E-1,3.621000098E-3,1.381000038E-3,2.243000083E-3,4.477706130E-3
